Country Name,Country Code,Capital City,Longitude,Latitude,Coordinates,,,,
Aruba,ABW,Oranjestad,12.51666667,-70.033333,"12.5166666666666, -70.033333",COUNTRY,,,
Afghanistan,AFG,Kabul,34.51666667,69.183333,"34.5166666666666, 69.183333",COUNTRY,,,
Angola,AGO,Luanda,-8.833333333,13.216667,"-8.83333333333333, 13.216667",COUNTRY,,,
Albania,ALB,Tirana,41.31666667,19.816667,"41.3166666666666, 19.816667",COUNTRY,,,
Andorra,AND,Andorra la Vella,42.5,1.516667,"42.5, 1.516667",COUNTRY,,,
United Arab Emirates,ARE,Abu Dhabi,24.46666667,54.366667,"24.4666666666666, 54.366667",COUNTRY,,,
Argentina,ARG,Buenos Aires,-34.58333333,-58.666667,"-34.5833333333333, -58.666667",COUNTRY,,,
Armenia,ARM,Yerevan,40.16666667,44.5,"40.1666666666666, 44.5",COUNTRY,,,
American Samoa,ASM,Pago Pago,-14.26666667,-170.7,"-14.2666666666666, -170.7",COUNTRY,,,
Antigua and Barbuda,ATG,Saint John's,17.11666667,-61.85,"17.1166666666666, -61.85",COUNTRY,,,
Australia,AUS,Canberra,-35.26666667,149.133333,"-35.2666666666666, 149.133333",COUNTRY,,,
Austria,AUT,Vienna,48.2,16.366667,"48.2, 16.366667",COUNTRY,,,
Azerbaijan,AZE,Baku,40.38333333,49.866667,"40.3833333333333, 49.866667",COUNTRY,,,
Burundi,BDI,Bujumbura,-3.366666667,29.35,"-3.36666666666666, 29.35",COUNTRY,,,
Belgium,BEL,Brussels,50.83333333,4.333333,"50.8333333333333, 4.333333",COUNTRY,,,
Benin,BEN,Porto-Novo,6.483333333,2.616667,"6.48333333333333, 2.616667",COUNTRY,,,
Burkina Faso,BFA,Ouagadougou,12.36666667,-1.516667,"12.3666666666666, -1.516667",COUNTRY,,,
Bangladesh,BGD,Dhaka,23.71666667,90.4,"23.7166666666666, 90.4",COUNTRY,,,
Bulgaria,BGR,Sofia,42.68333333,23.316667,"42.6833333333333, 23.316667",COUNTRY,,,
Bahrain,BHR,Manama,26.23333333,50.566667,"26.2333333333333, 50.566667",COUNTRY,,,
"Bahamas, The",BHS,Nassau,25.08333333,-77.35,"25.0833333333333, -77.35",COUNTRY,,,
Bosnia and Herzegovina,BIH,Sarajevo,43.86666667,18.416667,"43.8666666666666, 18.416667",COUNTRY,,,
Belarus,BLR,Minsk,53.9,27.566667,"53.9, 27.566667",COUNTRY,,,
Belize,BLZ,Belmopan,17.25,-88.766667,"17.25, -88.766667",COUNTRY,,,
Bermuda,BMU,Hamilton,32.28333333,-64.783333,"32.2833333333333, -64.783333",COUNTRY,,,
Bolivia,BOL,La Paz,-16.5,-68.15,"-16.5, -68.15",COUNTRY,,,
Brazil,BRA,Brasilia,-15.78333333,-47.916667,"-15.7833333333333, -47.916667",COUNTRY,,,
Barbados,BRB,Bridgetown,13.1,-59.616667,"13.1, -59.616667",COUNTRY,,,
Brunei Darussalam,BRN,Bandar Seri Begawan,4.883333333,114.933333,"4.88333333333333, 114.933333",COUNTRY,,,
Bhutan,BTN,Thimphu,27.46666667,89.633333,"27.4666666666666, 89.633333",COUNTRY,,,
Botswana,BWA,Gaborone,-24.63333333,25.9,"-24.6333333333333, 25.9",COUNTRY,,,
Central African Republic,CAF,Bangui,4.366666667,18.583333,"4.36666666666666, 18.583333",COUNTRY,,,
Canada,CAN,Ottawa,45.41666667,-75.7,"45.4166666666666, -75.7",COUNTRY,,,
Switzerland,CHE,Bern,46.91666667,7.466667,"46.91666667, 7.466667",COUNTRY,,,
Channel Islands,CHI,Saint Peter Port,49.4542,2.5497,"49.4542, 2.5497",COUNTRY,,,
Chile,CHL,Santiago,-33.45,-70.666667,"-33.45, -70.666667",COUNTRY,,,
China,CHN,Beijing,39.91666667,116.383333,"39.9166666666666, 116.383333",COUNTRY,,,
Cote d'Ivoire,CIV,Yamoussoukro,6.816666667,-5.266667,"6.81666666666666, -5.266667",COUNTRY,,,
Cameroon,CMR,Yaounde,3.866666667,11.516667,"3.86666666666666, 11.516667",COUNTRY,,,
